CH232W-03B,Nude sofa,192.0,166.8
CH232W-17B,Stool ,54.3,ok
CH271E-03B,マチルダ E仕様,218.8,ok
CH271E-09B,マチルダ E仕様,160.9,ok
CH271E-42B,マチルダ E仕様,174.9,ok
CH271E-49B,マチルダ E仕様,158.0,ok
CH271E-50B,マチルダ E仕様,158.0,ok
CH351-06B,Fugue-06 (351) Nude Sofa,165.4,ok
CH351-49B,Fugue-49 (351) Nude Couch,166.3,ok
CH351-50B,Fugue-50 (351) Nude Couch,166.3,ok
CH1070-3.5PB,総幅(W):2200mm,405.2,ok
CH1071N-3P+0.5P SN/01,肘ノックダウン仕様(脚なし),397.6,ok
CH1071N-3P+0.5P SN/02,肘ノックダウン仕様(脚なし),397.6,ok
CH406-06 SN/03,ソファ,224.8,ok
CH406-50 SN/03,ソファ,201.7,ok
CH1071N-3P+0.5P SP/206,肘ノックダウン仕様,408.3,ok
CH271E-49 SP/192,マチルダ,218.7,ok
CH232W-03 SP/209,レコルタⅡ,274.2,247.1
CH1072-30N SN/02,CU37x1 CU35x1付き,283.6,ok
CH261-3PB+0.5PB,アクロス　ボディ,264.7,ok
CH261-17B,Stool ,54.2,ok
CH271E-03B,マチルダ,218.8,ok
CH1071N-3P+0.5P SP/183,肘ノックダウン仕様,423.7,ok
CH271E-03B,マチルダ E仕様,218.8,ok
CH232W-09C SN/01,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-49C SN/01,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-03C SN/02,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-17C SN/02,only cover レコルタⅡ（新仕様）,18.9,ok
CH232W-50C SN/02,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-09C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-37C SN/03,only cover レコルタⅡ（新仕様）,9.4,ok
CH271-08C SN/02,only cover,59.8,ok
CH271-09C SN/02,only cover,59.8,ok
CH271-50C SN/02,only cover,57.4,ok
CH271-03C SN/03,only cover,74.7,ok
CH271-08C SN/03,only cover,59.8,46.3
CH271-09C SN/03,only cover,59.8,46.3
CH271-17C SN/03,only cover,20.0,ok
CH271-41C SN/03,only cover,43.1,ok
CH271-42C SN/03,only cover,43.1,ok
CH271-49C SP/180,only cover,66.3,ok
CH1070-3PC SN/03,総幅(W):1900mm Cover Only,61.7,ok
CH1070-3.5PC SN/03,総幅(W):2200mm Cover Only,69.2,ok
CH1070-0.5C SN/03,Stool Cover Only,12.4,ok
CH1070-3PC SP/180,総幅(W):1900mm Cover Only,76.7,ok
CH1070-0.5C SP/180,Stool Cover Only,14.7,ok
CH1070-3PC SP/183,総幅(W):1900mm Cover Only,76.7,ok
CH1070-0.5C SP/183,Stool Cover Only,14.7,ok
CH232W-50C SN/01,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-09C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH271-08C SN/01,only cover,59.8,46.3
CH271-03C SP/180,only cover,87.4,ok
CH271-09C SP/181,only cover,69.3,ok
CH271-17C SP/181,only cover,22.9,ok
CH1070-0.5C SP/183,Stool Cover Only,14.7,ok
CH232W-09C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH271-37C SN/01,only cover,11.1,ok
CH271-08C SN/02,only cover,59.8,ok
CH271-09C SN/02,only cover,59.8,ok
CH271-17C SN/02,only cover,20.0,ok
CH271-41C SN/02,only cover,43.1,ok
CH271-09C SN/03,only cover,59.8,46.3
CH271-03C SP/180,only cover,87.4,ok
CH1070-0.5C SP/197,Stool Cover Only,13.3,ok
CH1070-0.5C SP/198,Stool Cover Only,13.3,ok
CH271-03C SP/183,only cover,87.4,ok
N528-708(03背パッド）,N528-03SE,13.1,ok
N528-706(背クッション36）,N528-36,12.3,ok
N528-707(背クッション37）,N528-37,14.2,ok
N528N-703(41/42座パッド）,N528-41/42ZA,25.9,ok
N528-702,N528-49/50/03ARM,7.0,ok
N528-701(49/50背パッド）,N528-49/50SE,9.7,ok
N528N-704(49/50座パッド）,N528-49/50ZA,26.9,ok
T517-707(06/07背パッド),T517-06/07SE,10.6,ok
T517-712(49/50肘パッド),T517-49/50ARM,6.3,ok
N528N-710(17座パッド）,N528-17ZA,12.9,ok
N528-706(背クッション36）,N528-36,12.3,ok
N528-707(背クッション37）,N528-37,14.2,ok
N528-713(41S/42S背パッド),N528-41S/42SSE,8.1,ok
N528N-714(41S/42S座パッド),N528-41S/42SZA,22.4,ok
T517-706(06/07座パッド),T517-06/07ZA,16.6,ok
T517-700(08/09/10座パッド）,T517-08/09/10ZA　只有羽毛,16.3,ok
T517-701 L(08/09背パッド　W=1120),T517-08/09SE　L　只有羽毛,10.2,ok
T517-701 S(08/09背パッド　W=910）,T517-10/08/09SE　S　只有羽毛,9.8,ok
T517-703(17Ｓ用座パッド）,T517-17ZA　S　只有羽毛,12.9,ok
T517-704(20座パッド),T517-20ZA,11.8,ok
T517-712(49/50肘パッド),T517-49/50ARM,6.3,ok
T517-710(49/50背パッド①),T517-49/50SE①,8.7,ok
T517-711(49/50背パッド②),T517-49/50SE②,6.0,ok
T517-708(49/50座パッド①),T517-49/50ZA①,13.3,ok
T517-709(49/50座パッド②),T517-49/50ZA②,18.1,ok
