CH1104-3P BW SP/198 SP/207,クッション部=SP/198 ボディー部=SP/207,304.0,x
CH1104-3P BW SP/182 SP/183,クッション部=SP/182 ボディー部=SP/183,312.0,x
CH1104-0.5P BW SP/182 SP/183,クッション部=SP/182 ボディー部=SP/183,80.0,x
CH1104-2.5P BW SP/197,クッション部+ボディー部共=SP/197,282.0,x
CH1122-1NC SN/42,[ONLY COVER] ナフコユニットソファ,24.6,x
CH1122-0.5PC SN/42,[ONLY COVER] ナフコユニットソファ,15.3,x
CH1122-11LC SN/42,ナフコ　NFチョイス[ONLY COVER],25.4,x
CH261-03+17 SP/192 SP/196,クッション部=SP/192 ボディ部=SP/196,386.7,ok
CHS356-59 SP/192,Head-rest ,22.5,ok
TF943B-20R CHILI25,腰クッションなし / 脚 DB 同梱,239.8,ok
TF943B-11L CHILI25,腰クッションなし / 脚 DB 同梱,222.2,ok
TF943B-20L CHILI17,腰クッションなし / 脚 DB 同梱,239.8,ok
TF943B-11R CHILI17,腰クッションなし / 脚 DB 同梱,222.2,ok
TF943B-20R CHILI17,腰クッションなし / 脚 DB 同梱,239.8,ok
TF943B-11L CHILI17,腰クッションなし / 脚 DB 同梱,222.2,ok
TF943B-03 CHILI25,腰クッション無し 脚色=DB,295.1,x
布地サンプル(A4サイズ) SP/180,A4サイズ 全周ロック,0.75,ok
布地サンプル(A4サイズ) SP/181,A4サイズ 全周ロック,0.75,ok
布地サンプル(A4サイズ) SP/182,A4サイズ 全周ロック,0.75,ok
布地サンプル(A4サイズ) SP/183,A4サイズ 全周ロック,0.75,ok
布地サンプル(A4サイズ) SP/184,A4サイズ 全周ロック,0.75,ok
LH03-2PR HSQ9066/05,リビングハウス,281.8,ok
LH03LEG-L 鉄脚(大),リビングハウス,13.1,26.2
LH03-0.5P HSQ9066/05,リビングハウス,102.7,ok
LH03LEG-S 鉄脚(小),リビングハウス,13.1,26.2
LH03-20R SP/183,リビングハウス,269.1,x
LH03LEG-L 鉄脚(大),リビングハウス,13.1,26.2
LH03-2PL SP/183,リビングハウス,281.8,x
TF943B-11L SP/207,腰クッションなし DB脚同梱,256.5,x
TF943B-20R SP/207,腰クッションなし DB脚同梱,236.8,239.8
CHY040-14F SP/183,新規ベッド ダブルサイズ,252.2,ok
TF943B-20L SP/198,腰クッションなし DB脚同梱,256.5,239.8
TF943B-11R SP/198,腰クッションなし DB脚同梱,236.8,222.2
CH1092-1N SP/184,Libera,131.7,ok
CH1092-11N SP/184,Libera,196.2,x
CH1092-FS SP/184,Libera,76.7,ok
CH907-06 SP/196 SP/192,ロザーナ本体+37クッションはSP/196 CU35はSP/192,226.0,x
CH907-50 SP/196 SP/192,ロザーナ本体+37 クッションはSP/196 CU35はSP/192,241.0,x
CH271E-09 SP/209,マチルダ,223.8,ok
CH271E-49 SP/209,マチルダ,218.5,ok
TF943B-03 CHILI17,腰クッション無し 脚色=DB,295.1,x
TF1083-3P+0.5P SP/206,3P/0.5P 各1pc 肘クッション x 2個 同梱,374.4,ok
CHY040-14F SP/183,新規ベッド ダブルサイズ,252.2,ok
CHY040-10F SP/183,新規ベッド シングルサイズ,232.9,ok
TF943B-20L SP/197,腰クッションなし DB脚同梱,256.5,239.8
TF943B-11R SP/197,腰クッションなし DB脚同梱,236.8,222.2
TF943B-03 DB SP/192,腰クッション無し 脚色=DB,310.1,x
TF943B-0.5P DB SP/192,DB脚同梱,68.5,x
CH1104-3PC SP/207 SP/198,[ONLY COVER] NFブリッド(ナフコオリジナル),62.5,x
